,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12411,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19931381.0,19931381.0,False,,1,,,,2025-10-07T15:24:00.000Z,122345.7179193819,72334485921.29965,19.5351,-0.71287002,-2.32515114,8.13006129,9.93549201,5.0478798,12.22575163,2438519117569.728,58.1053,2569260076307.02,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
1,1027,Ethereum,ETH,ethereum,10869,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703250.5285526,120703250.5285526,True,,2,,,,2025-10-07T15:24:00.000Z,4568.557764496614,48840871051.78063,29.2311,-2.18056263,-2.51679373,11.0788768,6.15777738,15.30725584,72.24071922,551439772402.1991,13.1398,551439772402.2,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
2,825,Tether USDt,USDT,tether,151049,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,177420277588.2116,181026669414.25336,True,,4,,,,2025-10-07T15:24:00.000Z,1.0005978966929021,180955313490.6151,23.6993,0.02796578,0.03258895,0.03362467,0.05848894,0.05895418,0.04992431,177526356585.43536,4.2301,181134904661.22,,2025-10-07T15:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-07 20:56:28.900509
3,1839,BNB,BNB,bnb,2787,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139184309.92000002,139184309.92000002,False,,3,,,,2025-10-07T15:24:00.000Z,1277.7219515273634,9100896493.960022,77.8858,-2.29411803,4.88403691,28.37266043,46.19936447,62.34740771,92.82161305,177838848092.9718,4.2376,177838848092.97,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
4,52,XRP,XRP,xrp,1716,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59871700035.0,99985791876.0,False,,5,,,,2025-10-07T15:24:00.000Z,2.907393781085979,7183892043.089345,32.5111,-0.72278721,-3.82063957,3.07091477,0.86585982,-10.29643426,22.17168177,174070608344.8042,4.1462,290739378108.6,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
5,5426,Solana,SOL,solana,1014,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546085302.2115482,611304846.7926035,True,,6,525236893.3,117793870406.11267,,2025-10-07T15:25:00.000Z,224.26808152418235,8869391688.609226,36.7135,-0.92607326,-4.88585681,9.02461202,10.00066409,27.81776977,45.74592417,122469503075.53725,2.9182,137096165216.61,,2025-10-07T15:25:00.000Z,,,,,,2025-10-07 20:56:28.900509
6,3408,USDC,USDC,usd-coin,32594,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75480044163.07178,75480044163.07178,False,,7,60901219650.23,60886560223.62097,,2025-10-07T15:24:00.000Z,0.9997592917400797,21578979767.965405,29.4618,0.02695615,0.00755576,0.00268588,-0.00633153,0.00603132,-0.01318481,75461875492.98257,1.7981,75461875492.98,,2025-10-07T15:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-07 20:56:28.900509
7,74,Dogecoin,DOGE,dogecoin,1317,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151252846383.70523,151252846383.70523,True,,8,,,,2025-10-07T15:24:00.000Z,0.25436651516639996,4267534588.4981003,34.7453,-1.3737274,-4.80379646,12.0774647,13.58810196,14.57537534,47.17318144,38473659443.62192,0.9168,38473659443.62,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
8,1958,TRON,TRX,tron,1238,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94668715048.2436,94668633922.86731,True,,9,94667886298.43,32396870034.27948,,2025-10-07T15:24:00.000Z,0.3422160491906616,779765890.0939667,-2.8205,-0.61592563,-1.10918307,2.69703996,4.18229226,0.87275737,18.92507918,32397153645.76646,0.7717,32397125883.36,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
9,2010,Cardano,ADA,cardano,1594,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35827299997.723114,44994581886.50792,False,,10,37997904336.0,31908466738.548355,,2025-10-07T15:24:00.000Z,0.8397428041397961,1596656237.423931,23.6255,-0.91260323,-3.44273352,7.5473734,0.54326731,7.26828171,37.85239502,30085717364.84572,0.7169,37788426186.29,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
